PMID, Ack, Gender 
19633095, Erkki Raulo,???
19633095, Juha Muilu,???
19633095, Jan Eric Litton,male
19675096, Dr Zhenyu Xuan,???
19675096, Dr Richard McCombie,male
19675096, Dr Andrew Smith,male
19675096, Zheng Zhang,???
19675096, Dazhe Meng,???
19675096, Zach Frazier,male
19592395, R Baldock,???
19592395, Lindsay,male
19671693, CoE,???
19605418, Roman Siddiqui,male
19605418, Vladimir Shelest,???
19654119, Chromatin Plasticity,???
19633096, Philippa Matthews,???
19633096, Thomas Kuntzen,male
19633096, Toshi Miura,???
19633096, Yaoyu Wang,???
19633096, Jenna Rychert,female
19633096, Zabrina Brumme,???
19633096, Chanson Brumme,???
19633096, Richard Harrigan,male
19633096, Meredith Skeels,female
19648138, Ehsan Nourbakhsh,???
19648138, Brooke Gardiner,female
19661241, Keith Baggerly,male
19661241, Kimberly Doheny,female
19661241, Elizabeth Pugh,female
19661241, Stephen Wilcox,male
19661241, Melinda Ziino,female
19570806, Andrew George,male
19570806, Peter Humburg,male
19570806, Ketil Malde,???
19570806, Scott Hazelhurst,male
19570806, Ketil Malde,???
19561016, Etienne Dervyn,???
19561016, Philippe Noirot,???
19561016, Franck Picard,???
19592393, Rafael Irizarry,male
19592393, Johns Hopkins,???
19605421, Jean-Philippe Vert,???
19574284, Chris Newbold,male
19574284, Gareth Maslen,???
19574284, Bill,male
19574284, Melinda Gates Foundation,female
19602525, PIQA,???
19570805, Alan Williams,male
19570805, Bob Kuhn,male
19570805, Donna Karolchik,female
19570805, Jim Kent,male
19570805, Manuel Ares Jr,male
19628508, Scott Tebbutt,male
19628508, Thea VanRossum,female
19535535, Ben Bolstad,male
19535535, Simon Cawley,male
19535535, Jim Veitch,male
19535535, Cheng Li,???
19549630, James Bonfield,both
19549630, Andy Brown,male
19549630, Roger Pettett,male
19549630, Swift,???
19549630, Tony Cox,male
19549630, Klaus Maisinger,???
19549630, Tony Cox,male
19549630, Nava Whiteford,???
19549630, Clive Brown,male
19542150, Alessandro Riccombeni,male
20202973, Marc E Lippman,male
20223837, Takeshi Nagashima,???
20223837, Yuko Saeki,???
20223837, Koichi Takahashi,???
20223837, Kazuyuki Nakamura,???
20172944, James Truman,both
20172944, Julie Simpson,female
20172944, Zongcai Ruan,???
20172944, Wayne Perenau,male
20172944, Myers,???
20172944, Hanchuan Peng,???
20172944, Margaret Jefferies,female
20185405, Curtis Huttenhower,male
20185405, Olga Troyanskaya,female
20185405, Tao Yue,???
20185405, Jimin Song,???
20185405, David Botstein,male
20200009, Eric Neumann,male
20200009, M?lanie Courtot,???
20200009, Frank Gibson,male
20200009, Alan Rector,male
20185404, Pierre Vincens,male
20194625, Hancock,???
20194625, Mallon,???
20194625, Yokoyama,???
20194625, Nishimura,???
20194625, Takatsuki,???
20147307, James Johnson,both
20147303, William H Majoros,male
20147303, Todd Wasson,male
20147303, Markov,???
20147303, Melinda Gates Foundation,female
20147303, Dr Barton,male
20147303, Haynes,???
20147302, Colin Watanabe,male
20147302, Sekar Seshagiri,???
20147302, Ernie Retzel,male
20147302, Irina Khrebtukova,???
20147302, Gary Schroth,male
20338898, R?my Cl?ment,???
20338898, Mike Smith,male
20200010, BOOTStrep,???
20591904, Peter Pfaffelhuber,male
20591904, Cornelia Borck,female
20591904, Ines Hellmann,female
20591904, Pleuni Pennings,???
20591904, Pavlos Pavlidis,???
20591904, Jayne Ewing,female
20519285, Leonardo Mari?o-Ram?rez,male
20519285, Joshua S Weitz,male
20562417, Ryan Lister,male
20562417, Joe Ecker,male
20562417, George Marnellos,male
20605929, Carsten Kemena,???
20605929, Ionas Erb,???
20605929, Chang Jia Ming,???
20605929, Jean-Fran?ois Taly,???
20971987, Nico Adams,male
20971987, George Gkoutos,male
20971988, Dr Lars Jermiin,male
21123224, Gabor Csardi,???
21123224, Tamas Nepusz,???
21123224, Samad Lotia,???
21123224, Josh Bucker,male
21088028, Allan Kuchinsky,male
21088028, Josh Bucker,male
20926420, Dr Guo-Liang Wang Dr Brian Scheffler,male
20926420, LaGrue,???
20926420, Francis,male
20926420, Koshihikari,???
20926420, Dr Masahiro Yano Resequencing,???
20926420, Pam Ronalds,female
20966005, Pamp,???
